;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28069;28069;AHUMADA,ARTURO;   ;INVITANDO MIN.HACIENDA A COMISION DE H.P. A FIN DE QUEINFORME SOBRE EL RITMO DE GASTO ESTABLECIDO EN PRESUPUESTO2001;CD;R ;PJ;24/04/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28254;28254;AHUMADA,ARTURO;COCOLO MORON  ;DEROGANDO EL APARTADO 4 DEL ART. 63 DE LA LEY 6865 -LEYIMPOSITIVA 2001- (PERCEPCION DE TRIBUTO);CD;L ;PJ;24/05/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28311;28311;AHUMADA,ARTURO;SERRALTA   ;SOLICITANDO AL ADMINISTRADOR DE LA DCCION. PCIAL. DE VIALIDAD INFORME SOBRE LA ADJUDICACION DE LA OBRA "DOBLE VIA ATUNUYAN";CD;D ;PJ;05/06/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28373;28373;AHUMADA,ARTURO;   ;DESAFECTANDO DOMINIO PUBLICO FRACCION DE TERRENO, UBICADO ENEL DEPTO. LAS HERAS Y FACULTANDO A ESA MUNICIPALIDAD A DONARA LA UNION VECINAL 7 DE MAYO;CD;L ;PJ;14/06/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28392;28392;AHUMADA,ARTURO;   ;SOLICITANDO MIN.ECON. INFORME SOBRE LEY 6906 -COMPRA DE VINOPOR PARTE DEL PE-;CD;R ;PJ;19/06/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28425;28425;AHUMADA,ARTURO;SERRALTA PEREZ BOTTI  ;INVITANDO PTE. I.P.V. A COMISION L.P. Y A.U.V., A FIN DE QUEINFORME SOBRE SITUACION PATRIMONIAL Y FINANCIERA DEL I.P.V.;CD;R ;PJ;27/06/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28466;28466;AHUMADA,ARTURO;   ;SOLICITANDO MIN.ECO. INFORME SOBRE EL ESTADO DE LOS EXPTES.1046-D-96 Y 2524-B-97 DE LA DIRECCION FISCALIZACION YCONTROL;CD;R ;PJ;03/07/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28471;28471;AHUMADA,ARTURO;SERRALTA, DOMINGUEZ  ;AGREGANDO ULTIMO PARRAFO AL INC. A) DEL ART. 169 DEL CODIGOFISCAL;CD;L ;PJ;03/07/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28490;28490;AHUMADA,ARTURO;SILVESTRE CORDOBA COCOLO ;MODIFICANDO EL ART. 1 DE LA LEY 6803 ASISTENCIA A PRODUCTORES AGROPECUARIOS, MODIFICADA POR LEY 6903;CD;L ;PJ;05/07/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28599;28599;AHUMADA,ARTURO;   ;SOLICITANDO AL PE INFORME SOBRE LOS MOTIVOS POR LOS CUALESNO SE HA DADO CUMPLIMIENTO A LO ESTABLECIDO EN EL ART. 14 DELA LEY 6772 -PENSION SOCIAL MALVINAS ARGENTINAS;CD;R ;PJ;31/07/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28652;28652;AHUMADA,ARTURO;   ;DECLARANDO DE INTERES DE LA H. CAMARA LA REALIZACION DEL8VO. CONGRESO NACIONAL DE PROFESORES Y ALUMNOS DE INGLES"THRILLING THE AUDIENCE" EN LA UNC;CD;R ;PJ;06/08/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28664;28664;AHUMADA,ARTURO;   ;SOLICITANDO MIN.HAC. INFORME SOBRE EL LLAMADO A LICITACIONPARA LA FISCALIZACION VERIFICACION Y DETERMINACIONIMPOSITIVA SOBRE INGRESOS BRUTOS;CD;R ;PJ;07/08/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28783;28783;AHUMADA,ARTURO;D ARIENZO   ;SOLICITANDO AL MINIST. DE HACIENDA LA REMISION DEL SOPORTEMAGNETICO DE LOS SUELDOS DE LA ADMINIST. CENTRAL Y DE LA LEGISLATURA PCIAL.;CD;R ;PJ;28/08/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28786;28786;AHUMADA,ARTURO;SILVESTRE DOMINGUEZ  ;DEROGANDO EL INC. 2) DEL ART. 4 DE LA LEY 6865 (IMPOSITIVA2001-;CD;L ;PJ;28/08/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28785;28785;AHUMADA,ARTURO;DOMINGUEZ   ;QUE EL PE EN CUMPLIMIENTO DE LA LEY 6658 PROCEDA A LLAMAR ALICITACION PUBLICA PARA LA SELECCION DEL FONDO FIDUCIARIOPARQUE DE SERVICIOS E INDUSTRIAS PALMIRA;CD;D ;PJ;29/08/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28845;28845;AHUMADA,ARTURO;   ;REITERANDO INFORME AL MIN.ECO., APROBADO POR RES. 220 DEL20-06-01 -SOBRE COMPRA DE VINOS POR PARTE DEL PODEREJECUTIVO-;CD;R ;PJ;05/09/2001
;http://www.hcdmza.gov.ar/proy/viewer.php?nro=28844;28844;AHUMADA,ARTURO;COCOLO SERRALTA  ;FACULTANDO COM. E.E.M.I. EFECTUE SEGUIMIENTO SOBRE AUTORIZACIONES OTORGADAS AL PE OPERACIONES DE CREDITO, COMPRA YVENTA DE CALDOS VINICOS Y/O MOSTOS;CD;R ;PJ;05/09/2001
